"","SSU_YEAR","NUM.total","occ","SPECIES_CD","X","PRIMARY_SAMPLE_UNIT","YEAR","MONTH","DAY","STATION_NR","LAT_DEGREES","LON_DEGREES","DEPTH","UNDERWATER_VISIBILITY","MAPGRID_NR","HABITAT_CD","ZONE_NR","SUBREGION_NR","MPA_NR","SPECIES_NR","LEN","NUM","TIME_SEEN","PROT","STRAT","REGION","LAT_LON","REEF_site","REEF_lat","REEF_lon","region.id","HAB_CD2","psu_id","NUM.total2","PSU_YEAR"
"20","1999_015U_1",1,1,"HOL BERM",21985,"015U",1999,5,19,1,24.4355,-81.94017,17.7,8,4774764,"SPGR_LR",4,8,0,152,0,0,1,0,"FMLR","FLA KEYS","24.4355_-81.94017","S + RS 840 - Key West",24.4334,-81.9428,3408,"SPGR",25,1,"1999_015U"
"21","1999_016U_1",0.5,1,"HOL BERM",22612,"016U",1999,5,19,1,24.43583,-81.94017,15.4,8,4774765,"SPGR_LR",4,8,0,152,0,0,1,0,"FDLR","FLA KEYS","24.43583_-81.94017","S + RS 840 - Key West",24.4334,-81.9428,3408,"SPGR",26,1,"1999_016U"
"22","1999_017U_1",0.5,1,"HOL BERM",23652,"017U",1999,5,19,1,24.43467,-81.94383,13.1,8,4767264,"SPGR_LR",4,8,0,152,0,0,1,0,"FMLR","FLA KEYS","24.43467_-81.94383","S + RS 840 - Key West",24.4334,-81.9428,3408,"SPGR",27,1,"1999_017U"
"23","1999_018U_1",1,1,"HOL BERM",24460,"018U",1999,5,20,1,24.43483,-81.95033,15.5,8,4756014,"SPGR_LR",4,8,0,152,25,0.5,1,0,"FMLR","FLA KEYS","24.43483_-81.95033","Live Rock Pile",24.4346666666667,-81.9546666666667,3408,"SPGR",28,1,"1999_018U"
"24","1999_019U_1",1.5,1,"HOL BERM",25108,"019U",1999,5,20,1,24.43533,-81.95283,16.5,8,4752264,"SPGR_LR",4,8,0,152,40,0.5,1,0,"FMLR","FLA KEYS","24.43533_-81.95283","Live Rock Pile",24.4346666666667,-81.9546666666667,3408,"SPGR",29,2,"1999_019U"
"25","1999_020U_1",1,1,"HOL BERM",25564,"020U",1999,5,20,1,24.44467,-81.92617,15.9,8,4801019,"SPGR_HR",4,8,0,152,35,1,1,0,"HRRF","FLA KEYS","24.44467_-81.92617","Lost Reef/High Rocks",24.4433333333333,-81.9325,3408,"SPGR",30,1,"1999_020U"
"26","1999_036U_1",0,0,"HOL BERM",39645,"036U",1999,6,15,1,24.48167,-81.7095,6.9,8,5213539,"SPGR_HR",4,8,20,152,0,0,1,1,"FMLR","FLA KEYS","24.48167_-81.7095","NOAA Site-Stn 14422",24.4858833333333,-81.7105166666667,3408,"SPGR",31,0,"1999_036U"
"27","1999_036U_2",0,0,"HOL BERM",39147,"036U",1999,6,15,2,24.48167,-81.70567,4.7,8,5221039,"SPGR_HR",4,8,20,152,0,0,1,1,"HRRF","FLA KEYS","24.48167_-81.70567","NOAA Site-Stn 14172",24.4830333333333,-81.6996666666667,3408,"SPGR",32,0,"1999_036U"
"28","1999_037U_1",0,0,"HOL BERM",40399,"037U",1999,6,15,1,24.47967,-81.71883,5.3,8,5194788,"SPGR_HR",4,8,20,152,0,0,1,1,"HRRF","FLA KEYS","24.47967_-81.71883","Western Sambo",24.4791666666667,-81.7163333333333,3408,"SPGR",33,0,"1999_037U"
"29","1999_037U_2",0,0,"HOL BERM",40319,"037U",1999,6,15,2,24.47983,-81.71883,4.4,8,5194788,"SPGR_HR",4,8,20,152,0,0,1,1,"HRRF","FLA KEYS","24.47983_-81.71883","Western Sambo",24.4791666666667,-81.7163333333333,3408,"SPGR",34,0,"1999_037U"
"30","1999_038U_1",0,0,"HOL BERM",41240,"038U",1999,6,15,1,24.47938,-81.72285,12,8,5187288,"SPGR_LR",4,8,20,152,0,0,1,1,"FMLR","FLA KEYS","24.47938_-81.72285","Western Sambo",24.4791666666667,-81.7163333333333,3408,"SPGR",35,0,"1999_038U"
"31","1999_039U_1",0,0,"HOL BERM",41945,"039U",1999,6,15,1,24.47578,-81.72682,18,8,5179786,"SPGR_LR",4,8,20,152,0,0,1,1,"FMLR","FLA KEYS","24.47578_-81.72682","Thirteen Foot Hump",24.4774666666667,-81.7312833333333,3408,"SPGR",36,0,"1999_039U"
"32","1999_040U_1",0,0,"HOL BERM",42673,"040U",1999,6,15,1,24.47833,-81.71483,4.9,8,5202287,"SPGR_LR",4,8,20,152,0,0,1,1,"HRRF","FLA KEYS","24.47833_-81.71483","Western Sambos Deep (HV monitoring site)",24.4776666666667,-81.7155,3408,"SPGR",37,0,"1999_040U"
"33","1999_041U_1",0.5,1,"HOL BERM",43937,"041U",1999,6,15,1,24.493,-81.7035,11,8,5224795,"ISOL_MR",3,8,20,152,27,0.5,1,1,"OFPR","FLA KEYS","24.493_-81.7035","NOAA Site-Stn 13892",24.4911166666667,-81.7108666666667,3408,"ISOL",38,1,"1999_041U"
"34","1999_041U_2",0,0,"HOL BERM",43734,"041U",1999,6,15,2,24.49267,-81.70367,8.7,8,5224795,"ISOL_MR",3,8,20,152,0,0,1,1,"OFPR","FLA KEYS","24.49267_-81.70367","NOAA Site-Stn 13892",24.4911166666667,-81.7108666666667,3408,"ISOL",39,0,"1999_041U"
"35","1999_047U_1",0,0,"HOL BERM",48921,"047U",1999,6,17,1,24.52333,-81.51533,6.3,8,5581062,"SPGR_HR",4,8,0,152,0,0,1,0,"HRRF","FLA KEYS","24.52333_-81.51533","NOAA Site-Stn 13702",24.5227166666667,-81.5187666666667,3408,"SPGR",40,0,"1999_047U"
