"","SP","m1.loo","m2.loo","m1.params","m2.params","mod","m1.sd_q","m2.sd_q1","m2.sd_q2","m1.sd_r1","m1.sd_r2","m2.sd_r1","m2.sd_r2","prop.sd.m1.rvc","prop.sd.m1.reef","prop.sd.m2.rvc","prop.sd.m2.reef","years.rvc","years.reef","rvc.b0","reef.b0","rvc.var.hab","reef.var.hab","reef.var.site","reef.var.dmy","reef.var.diver","rvc.b.depth","reef.b.depth","reef.b.btime","reef.b.vis","reef.b.curr","rvc.b.cont","reef.b.cont","rvc.b.isol","reef.b.isol","rvc.b.rubb","reef.b.hubb","rvc.b.sg","reef.b.sg","b.expert.reef","V41"
"11","Banded Butterflyfish",-7.7390375981707,9.30997693171016,6.43853734130137,5.60894292047096,"model2",0.159095022597576,0.323992037378423,0.202151717087515,0.405586852057728,0.14751725581834,0.221247047299146,0.0919275723347499,0.281369380664534,0.51784140138378,0.593090207847296,0.692389634315805,23,26,0.155186582464485,0.491521815663746,0.178982552920122,0.238495630535484,0.974886614500295,0.631024889316652,0.348301110606255,0.151346037749203,-0.00455337965043,0.226261182417097,0.0570974251732269,-0.0111125853936275,0.270440139089548,0.233075593970921,-0.694538108055991,-0.303228213494988,0.217542960608582,-0.244679200391561,0.233656995976881,0.61789897476471,0.61789897476471,-0.0603796400616892
"12","Foureye Butterflyfish",17.6204758883731,24.8664880200535,5.13182965139725,4.80218024075705,"model2",0.108861465417857,0.16955652295302,0.123427237734535,0.257092675007569,0.0822702634137197,0.180034051175536,0.0663698637780302,0.296546026483811,0.566958894911914,0.484158779186177,0.650018570250982,23,26,0.348733091203492,1.67524909929234,0.479185664636194,0.524165789383912,2.60934422510545,0.403567537412582,0.693812135536168,0.31776153687515,0.063683834567676,0.231482108500104,0.0340037001592343,0.00960944312052192,0.0546822813652574,0.284571149100706,0.146526714755481,-0.86448218533303,-1.01560784546921,0.00498442991997814,0.849900500619642,0.621835155400715,0.621835155400715,-0.0804726454816815
"13","Reef Butterflyfish",-46.3585701847747,-28.2656114254677,6.54955174650158,5.62450022385256,"model2",0.100211361804388,0.209204123232019,0.217180075458571,0.458605358156969,0.675811665228,0.29400664920793,0.404759223874711,0.172696514960692,0.128138889616362,0.409686933701565,0.34727402529674,23,26,0.177519329496327,0.372206013341184,0.41051607186826,0,1.49037559324934,1.22613071142015,0.670628153397556,0.762828676873015,0.952433036244506,0.113317353885769,0.0367809128065522,-0.0625496796366539,0.531527546552957,0,0.0837791712250488,0,-0.987296245276943,0,0.419218888015807,0,0,-0.514287277753538
"14","Spotfin Butterflyfish",28.2933887984376,27.1776206168812,5.58879212487222,5.44253904145225,"model1",0.103142726291054,0.0489195805935032,0.09627290583527,0.22911846318632,0.057496458097879,0.216849550494286,0.0641723063894841,0.306004087971091,0.644249851706965,0.17643352329281,0.599330701523094,23,26,0.391096032533361,1.41061624609467,0.125106277111177,0.046115124333965,0.547209899537621,0.593363358819149,1.02580566903225,0.367848935134899,0.237150853868677,0.249274639866378,0.0615495178452619,0.0407105668920796,0.259101071390651,0.0446548989824657,0.0316055346791632,-0.18623945268612,-0.551430970285368,-0.0397252447951798,0.276967624780933,0.164737145909865,0.164737145909865,-0.22492665054241
"15","Blue Chromis",-23.5717152409024,-20.2575537345713,5.68216129642151,3.8041230331218,"model2",0.232382727944494,0.270895450083829,0.232881628805663,0.39468303811018,0.278682570604775,0.344859712751255,0.26106171892721,0.371610581865906,0.451344555002977,0.436745861303665,0.466357934396234,23,26,0.66982140298779,4.04851423493721,0.844761916159285,2.25626916160044,2.95684011483595,0.430648750769286,1.24762882426778,0.6647913163663,0.337385446734085,0.170398988591269,0.102124462590888,-0.0680845216422216,0.403723148355456,0.386296430924587,-0.578938545270353,-2.05855812839913,-1.01441504802654,1.18759227632277,1.25652569129848,0.807591804163431,0.807591804163431,-0.101894093168636
"16","Brown Chromis",-7.62883004389534,-7.05806854794294,5.3120044592611,6.67971545995879,"model2",0.342884758735435,0.216428912576043,0.352095380759441,0.436403741870681,0.110443043682791,0.470657402916185,0.0805086847153481,0.438374683906773,0.763120618962304,0.312934726660155,0.815783553471185,23,26,1.56625326481963,6.31958772999516,0.88507428384221,1.68343061238973,2.52486886171364,0.827050876291715,1.35305289130388,-0.0660671079502563,-0.210101634987819,0.210387824457182,0.12044257815904,0.0218004767032741,0.124251453890166,0.514370381608992,-0.944266526792012,-1.7666734816037,-0.580946657351203,0.839388298376016,1.45567236572354,0.829468754479063,0.829468754479063,-0.513263104679973
"17","Purple Reeffish",-123.790341613259,-122.893769758236,13.4503319524492,12.9812256725209,"model2",0.16712474947162,1.0194465276526,0.166984541622006,15.0289233094263,0.594200641528886,13.9894881288426,0.5925828079536,0.0109029438021281,0.220183574115827,0.0667701247455564,0.218616740388962,23,26,0.085969659778936,0.103276322115461,0.0467479052981789,0,0.965476262699952,1.98666302871118,1.32118163771253,1.21029579309497,0.740468512319756,0.172642311357682,0.118362991095175,-0.0141247555383273,-0.190426937574885,0,0.0562915759910599,0,-0.0525489706611699,0,0.202952062029258,0,0,-1.04772757021852
"18","Beaugregory",-27.9175694782579,-14.0413423139332,5.37602819410208,5.25078124093834,"model2",0.0765608786621196,0.0765835903540238,0.235653738443079,0.377308150679975,0.406745853712923,0.315387578113356,0.224352927206389,0.161182516081166,0.160091569121289,0.189779917478466,0.504921748785802,23,26,0.251795686412573,0.472253095699036,0.136097738447757,0,0.142783757167683,0.170645008648729,2.25190033725187,-0.38860858798551,-0.0407862443843067,0.218767690851723,0.0303564084740436,-0.0247206886640391,0.0799715631465185,0,0.315730277492529,0,-0.580225109078297,0,0.20370689043303,0,0,-0.594757047445814
"19","Bicolor Damselfish",-5.25178868700892,10.298751693077,7.10033327254947,6.93505548807861,"model2",0.100857059832452,0.159654554751081,0.217188361013958,0.210403657680177,0.254301466873017,0.142566414754724,0.133874359173091,0.322588897075295,0.284441540666976,0.526981003753568,0.620936348661275,23,26,19.4118144161944,29.2088454980908,0.20443223844523,0.632590755695038,0.63296495130615,0.215763591085353,2.56998263295575,0.177188266043871,0.117890084730049,0.336847996907928,0.21099784075603,-0.0504204276584972,0.258178460226538,0.0505716336711614,-0.726703916160636,-1.21791962105882,0.0124735210367604,0.410210051336096,0.461979085210035,0.649394866240838,0.649394866240838,-0.322087526570076
"20","Dusky Damselfish",-33.0825577930288,-6.55286944757926,4.94650914760549,4.19740057621053,"model2",0.170701612528303,0.20308580142281,0.303093038216056,0.391519410550408,0.430425925885101,0.223084799405093,0.193102767182001,0.298671063453085,0.283248541407307,0.468931283872386,0.609169401042302,23,26,0.222640467554054,0.977951063238292,0.665546168407435,0,0.389385979495891,0.382672324858834,2.12995758014753,-1.0732391792768,-0.342498011993873,0.255484748072972,0.0564836364334678,0.0299606993496612,-0.0924936877783186,0,-0.461932902217744,0,-0.741274441760393,0,1.33212038185374,0,0,-0.39719312511726
"21","Longfin Damselfish",-41.4658459766093,-38.9868522096028,5.31867010307092,4.63514093429514,"model2",0.193655160636771,0.221019762514554,0.254583825195499,0.679932361339214,0.38701338723686,0.641206626881656,0.342994897354825,0.22202812042327,0.328972703991642,0.253487814490493,0.417502909203214,23,26,0.0685551544177703,0.418931930930698,0.750279187628665,0.2020685734248,1.04115940897411,0.638694980504635,2.2164556204623,-0.802983394683421,-0.25460410524492,0.294439243689111,0.00408554350202724,-0.0127012574914008,0.0551443642370896,0.23949040629608,-0.399838421014126,-0.35210255398347,-0.867673400699196,0.00538826821846702,1.31216430396387,0.678509372185704,0.678509372185704,-0.915442564625278
"22","Sergeant Major",-10.3111886102797,-10.4734203773056,6.07076740364006,6.329551453354,"model1",0.0296179621724912,0.0857933172061248,0.0550767570078687,0.311897719788694,0.251573140948376,0.290315236554131,0.240694008773575,0.0866899938715828,0.103853952635512,0.227919247186095,0.181563681875584,23,26,2.52543541700035,19.9817217771735,0.442272631456715,2.35744937240247e-10,2.93735967812515,0.880264212344673,1.30326036610591,-1.45889183030562,-0.510739458313618,0.282463457001745,0.132871049102959,0.0329423596836442,-0.409411113732621,5.85691674808078e-12,-0.321591312985808,-6.93958670155083e-10,-0.397784143889404,-9.3265064061024e-11,1.14231656945725,8.00250199411826e-10,8.00250199411826e-10,-0.227925619276627
